code	name
de	Deutsch
en	English
es	español
es-419	español (Latinoamérica)
fr	français
hr	hrvatski
it	italiano
nl	Nederlands
pl	polski
pt-BR	português (Brasil)
pt-PT	português (Portugal)
vi	Tiếng Việt
tr	Türkçe
ru	русский
ar	العربية
th	ไทย
ko	한국어
zh-CN	中文 (简体)
zh-TW	中文 (繁體)
ja	日本語
ach	Acoli
af	Afrikaans
ak	Akan
az	azərbaycan
ban	Balinese
su	Basa Sunda
xx-bork	Bork, bork, bork!
bs	bosanski
br	brezhoneg
ca	català
ceb	Cebuano
cs	čeština
sn	chiShona
co	Corsican
ht	créole haïtien
cy	Cymraeg
da	dansk
yo	Èdè Yorùbá
et	eesti
xx-elmer	Elmer Fudd
eo	esperanto
eu	euskara
ee	Eʋegbe
fil	Filipino
tl	Filipino
fo	føroyskt
fy	Frysk
gaa	Ga
ga	Gaeilge
gd	Gàidhlig
gl	galego
gn	Guarani
xx-hacker	Hacker
ha	Hausa
haw	ʻŌlelo Hawaiʻi
bem	Ichibemba
ig	Igbo
rn	Ikirundi
id	Indonesia
ia	interlingua
xh	IsiXhosa
zu	isiZulu
is	íslenska
jw	Jawa
rw	Kinyarwanda
sw	Kiswahili
tlh	Klingon
kg	Kongo
mfe	kreol morisien
kri	Krio (Sierra Leone)
la	Latin
lv	latviešu
to	lea fakatonga
lt	lietuvių
ln	lingála
loz	Lozi
lua	Luba-Lulua
lg	Luganda
hu	magyar
mg	Malagasy
mt	Malti
mi	Māori
ms	Melayu
pcm	Nigerian Pidgin
no	norsk
nn	norsk nynorsk
nso	Northern Sotho
ny	Nyanja
uz	o‘zbek
oc	Occitan
om	Oromoo
xx-pirate	Pirate
ro	română
rm	rumantsch
qu	Runasimi
nyn	Runyankore
crs	Seychellois Creole
sq	shqip
sk	slovenčina
sl	slovenščina
so	Soomaali
st	Southern Sotho
sr-ME	srpski (Crna Gora)
sr-Latn	srpski (latinica)
fi	suomi
sv	svenska
tn	Tswana
tum	Tumbuka
tk	türkmen dili
tw	Twi
wo	Wolof
el	Ελληνικά
be	беларуская
bg	български
ky	кыргызча
kk	қазақ тілі
mk	македонски
mn	монгол
sr	српски
tt	татар
tg	тоҷикӣ
uk	українська
ka	ქართული
hy	հայերեն
yi	ייִדיש
iw	עברית
ug	ئۇيغۇرچە
ur	اردو
ps	پښتو
sd	سنڌي
fa	فارسی
ckb	کوردیی ناوەندی
ti	ትግርኛ
am	አማርኛ
ne	नेपाली
mr	मराठी
hi	हिन्दी
bn	বাংলা
pa	ਪੰਜਾਬੀ
gu	ગુજરાતી
or	ଓଡ଼ିଆ
ta	தமிழ்
te	తెలుగు
kn	ಕನ್ನಡ
ml	മലയാളം
si	සිංහල
lo	ລາວ
my	မြန်မာ
km	ខ្មែរ
chr	ᏣᎳᎩ
